estu_genero,fami_educacionpadre,fami_educacionmadre,fami_estratovivienda,fami_tieneinternet,fami_tienecomputador,fami_tieneautomovil,edad,pago_promedio,estu_economia,distancia,presencial,punt_global,Region Amazonica,Region Andina,Region Caribe,Region Orinoquia,Region Pacifica
0,11.0,12.0,2,0,0,1,20,0.0,1,0,1,142,0,0,1,0,0
0,13.0,17.0,3,1,1,0,21,0.0,1,0,1,209,0,1,0,0,0
1,0.0,8.0,3,1,1,0,31,3250.0,1,0,1,139,0,1,0,0,0
1,17.0,15.0,5,1,1,1,24,3250.0,1,0,1,202,0,1,0,0,0
1,8.0,5.0,2,1,1,0,31,1750.0,1,1,0,157,1,0,0,0,0
1,17.0,15.0,3,1,0,0,22,750.0,1,0,1,167,0,1,0,0,0
1,17.0,15.0,4,1,1,1,40,1750.0,1,1,0,177,0,1,0,0,0
1,5.0,13.0,3,1,1,0,27,3250.0,1,0,1,162,0,1,0,0,0
0,8.0,11.0,2,1,1,0,23,4750.0,1,0,1,149,0,1,0,0,0
1,13.0,17.0,3,1,1,1,20,0.0,1,0,1,152,0,0,1,0,0
0,15.0,11.0,2,1,1,0,23,0.0,1,0,1,148,0,0,1,0,0
0,15.0,15.0,2,1,1,0,20,500.0,1,0,1,182,0,0,1,0,0
0,15.0,13.0,4,1,1,1,22,6250.0,0,0,1,158,0,1,0,0,0
1,15.0,17.0,4,1,1,1,24,7000.0,1,0,1,186,0,1,0,0,0
1,3.0,3.0,1,1,0,0,34,0.0,1,1,0,116,0,0,1,0,0
0,12.0,15.0,3,1,1,1,31,4750.0,1,0,1,169,0,1,0,0,0
1,17.0,15.0,1,1,1,0,21,1750.0,1,0,1,166,0,0,1,0,0
1,8.0,3.0,2,1,1,0,21,1750.0,0,0,1,176,0,1,0,0,0
0,3.0,13.0,2,1,1,1,19,1750.0,0,0,1,156,0,1,0,0,0
1,13.0,13.0,3,1,1,1,27,500.0,1,0,1,176,0,1,0,0,0
0,11.0,11.0,2,1,1,0,20,750.0,1,0,1,145,0,1,0,0,0
0,3.0,8.0,4,1,1,0,25,6250.0,1,0,1,136,0,1,0,0,0
0,17.0,17.0,3,1,1,1,20,1750.0,0,0,1,187,0,0,0,0,1
1,17.0,13.0,4,1,1,1,22,1750.0,1,0,1,153,0,1,0,0,0
1,3.0,5.0,2,1,1,0,31,1750.0,1,1,0,137,0,1,0,0,0
0,15.0,14.0,2,1,1,0,21,0.0,1,0,1,185,0,0,1,0,0
0,8.0,5.0,3,1,1,0,26,1750.0,1,1,0,147,0,1,0,0,0
0,15.0,13.0,4,1,1,1,31,4750.0,0,0,1,127,0,1,0,0,0
0,11.0,15.0,3,1,1,1,19,3250.0,0,0,1,117,0,1,0,0,0
0,0.0,12.0,3,1,1,0,21,0.0,1,0,1,188,0,1,0,0,0
1,17.0,17.0,6,1,1,0,22,7000.0,1,0,1,157,0,1,0,0,0
0,13.0,13.0,3,1,1,1,26,4750.0,1,0,1,163,0,1,0,0,0
0,3.0,5.0,2,0,0,1,19,500.0,1,0,1,191,0,0,1,0,0
1,15.0,11.0,3,1,1,0,28,750.0,1,0,1,175,0,1,0,0,0
0,0.0,15.0,3,1,1,0,21,4750.0,0,0,1,152,0,1,0,0,0
1,3.0,5.0,1,1,1,0,21,500.0,1,0,1,169,0,1,0,0,0
1,5.0,5.0,2,1,1,0,33,750.0,1,1,0,149,0,1,0,0,0
1,3.0,3.0,3,1,1,0,29,750.0,0,0,1,157,0,1,0,0,0
0,3.0,8.0,2,1,1,1,20,750.0,1,0,1,167,0,1,0,0,0
0,5.0,5.0,3,1,1,0,49,1750.0,1,1,0,141,0,0,0,0,1
0,3.0,11.0,3,1,1,1,20,6250.0,1,0,1,148,0,1,0,0,0
1,17.0,15.0,5,1,1,1,20,7000.0,1,0,1,209,0,1,0,0,0
0,15.0,17.0,6,1,1,1,20,7000.0,1,0,1,178,0,0,1,0,0
1,17.0,15.0,6,1,1,1,22,750.0,1,0,1,215,0,1,0,0,0
1,15.0,17.0,2,1,1,0,19,6250.0,1,0,1,163,0,1,0,0,0
0,11.0,11.0,2,1,1,1,22,500.0,1,0,1,181,0,1,0,0,0
1,17.0,15.0,5,1,1,1,24,7000.0,1,0,1,230,0,1,0,0,0
1,3.0,3.0,2,1,1,0,28,3250.0,1,0,1,158,0,1,0,0,0
0,12.0,14.0,4,1,1,1,21,3250.0,0,0,1,166,0,1,0,0,0
1,11.0,11.0,1,1,0,0,19,0.0,1,0,1,174,0,0,1,0,0
0,3.0,11.0,2,1,1,0,23,750.0,0,0,1,157,0,1,0,0,0
1,5.0,14.0,3,1,1,0,20,6250.0,1,0,1,191,0,1,0,0,0
1,0.0,17.0,2,1,1,0,20,750.0,0,0,1,183,0,0,0,0,1
0,11.0,13.0,1,1,1,0,20,4750.0,0,0,1,171,0,0,1,0,0
1,8.0,13.0,2,1,1,1,20,6250.0,1,0,1,156,0,1,0,0,0
0,12.0,12.0,3,1,1,1,21,4750.0,1,0,1,194,0,1,0,0,0
0,15.0,11.0,3,1,0,0,26,3250.0,1,0,1,144,0,0,0,0,1
1,17.0,17.0,6,1,1,1,20,7000.0,1,0,1,187,0,1,0,0,0
1,15.0,15.0,4,1,1,1,21,1750.0,1,0,1,156,0,1,0,0,0
0,3.0,8.0,1,1,1,0,21,500.0,0,0,1,188,0,0,0,0,1
0,11.0,15.0,4,1,1,0,23,0.0,0,0,1,172,0,0,0,0,1
0,5.0,11.0,4,1,1,0,20,1750.0,1,1,0,181,0,1,0,0,0
1,3.0,8.0,1,1,1,0,21,500.0,1,0,1,166,0,1,0,0,0
1,11.0,8.0,3,1,1,0,32,1750.0,1,1,0,149,0,1,0,0,0
0,13.0,15.0,5,1,1,1,19,7000.0,1,0,1,220,0,1,0,0,0
0,5.0,11.0,2,1,1,0,25,3250.0,1,0,1,132,0,1,0,0,0
1,8.0,13.0,3,1,1,1,23,3250.0,1,0,1,126,0,1,0,0,0
1,14.0,15.0,4,1,1,0,21,750.0,1,0,1,168,0,1,0,0,0
1,11.0,11.0,2,1,1,0,30,3250.0,1,1,0,143,0,1,0,0,0
1,17.0,13.0,2,1,1,1,21,1750.0,1,0,1,178,0,0,0,1,0
0,17.0,13.0,4,1,1,0,27,0.0,0,0,1,170,0,1,0,0,0
0,13.0,8.0,3,1,1,0,26,750.0,0,0,1,168,0,0,0,0,1
0,0.0,17.0,4,1,1,1,19,7000.0,1,0,1,205,0,1,0,0,0
0,5.0,13.0,3,1,0,0,24,3250.0,1,0,1,119,0,1,0,0,0
1,8.0,15.0,3,1,1,0,19,6250.0,1,0,1,161,0,1,0,0,0
1,15.0,8.0,3,1,1,1,26,0.0,1,0,1,166,0,0,0,0,1
1,5.0,5.0,3,1,1,0,31,1750.0,1,1,0,175,0,1,0,0,0
0,11.0,11.0,3,1,1,1,20,1750.0,0,0,1,171,0,0,0,0,1
0,13.0,8.0,3,1,1,1,23,3250.0,1,0,1,130,0,1,0,0,0
0,13.0,13.0,3,1,1,1,23,500.0,1,0,1,138,0,0,1,0,0
1,17.0,17.0,3,1,1,1,21,1750.0,1,0,1,177,0,1,0,0,0
0,5.0,11.0,2,1,1,0,20,750.0,1,0,1,153,0,1,0,0,0
1,3.0,17.0,2,1,0,0,27,0.0,1,0,1,163,0,0,1,0,0
1,3.0,17.0,3,1,1,1,21,4750.0,1,0,1,177,0,1,0,0,0
1,11.0,5.0,1,1,1,0,22,7000.0,1,0,1,190,0,1,0,0,0
1,17.0,17.0,3,1,1,1,19,7000.0,1,0,1,195,0,0,0,1,0
1,15.0,15.0,6,1,1,1,22,3250.0,1,0,1,187,0,1,0,0,0
1,15.0,15.0,4,1,1,1,25,1750.0,0,0,1,161,0,1,0,0,0
0,3.0,15.0,2,1,1,1,20,750.0,0,0,1,147,0,1,0,0,0
1,8.0,14.0,2,1,1,0,27,3250.0,1,0,1,101,0,1,0,0,0
1,14.0,12.0,3,1,1,0,22,4750.0,1,0,1,138,0,1,0,0,0
