Product code	Product label	Colombia's imports from United States of America-Value in 2002	Colombia's imports from United States of America-Value in 2003	Colombia's imports from United States of America-Value in 2004	Colombia's imports from United States of America-Value in 2005	Colombia's imports from United States of America-Value in 2006	Colombia's imports from United States of America-Value in 2007	Colombia's imports from United States of America-Value in 2008	Colombia's imports from United States of America-Value in 2009	Colombia's imports from United States of America-Value in 2010	Colombia's imports from United States of America-Value in 2011	Colombia's imports from United States of America-Value in 2012	Colombia's imports from United States of America-Value in 2013	Colombia's imports from United States of America-Value in 2014	Colombia's imports from United States of America-Value in 2015	Colombia's imports from United States of America-Value in 2016	Colombia's imports from United States of America-Value in 2017	Colombia's imports from United States of America-Value in 2018	Colombia's imports from United States of America-Value in 2019	Colombia's imports from United States of America-Value in 2020	Colombia's imports from United States of America-Value in 2021	United States of America's exports to world- 	United States of America's exports to world-Value in 2002	United States of America's exports to world-Value in 2003	United States of America's exports to world-Value in 2004	United States of America's exports to world-Value in 2005	United States of America's exports to world-Value in 2006	United States of America's exports to world-Value in 2007	United States of America's exports to world-Value in 2008	United States of America's exports to world-Value in 2009	United States of America's exports to world-Value in 2010	United States of America's exports to world-Value in 2011	United States of America's exports to world-Value in 2012	United States of America's exports to world-Value in 2013	United States of America's exports to world-Value in 2014	United States of America's exports to world-Value in 2015	United States of America's exports to world-Value in 2016	United States of America's exports to world-Value in 2017	United States of America's exports to world-Value in 2018	United States of America's exports to world-Value in 2019	United States of America's exports to world-Value in 2020	United States of America's exports to world-Value in 2021	Colombia's imports from world- 	Colombia's imports from world-Value in 2002	Colombia's imports from world-Value in 2003	Colombia's imports from world-Value in 2004	Colombia's imports from world-Value in 2005	Colombia's imports from world-Value in 2006	Colombia's imports from world-Value in 2007	Colombia's imports from world-Value in 2008	Colombia's imports from world-Value in 2009	Colombia's imports from world-Value in 2010	Colombia's imports from world-Value in 2011	Colombia's imports from world-Value in 2012	Colombia's imports from world-Value in 2013	Colombia's imports from world-Value in 2014	Colombia's imports from world-Value in 2015	Colombia's imports from world-Value in 2016	Colombia's imports from world-Value in 2017	Colombia's imports from world-Value in 2018	Colombia's imports from world-Value in 2019	Colombia's imports from world-Value in 2020	Colombia's imports from world-Value in 2021	
60	"Knitted or crocheted fabrics"	2778	11061	23211	16184	26223	18426	11412	7792	8610	8959	9269	14240	9092	11191	6228	5367	8645	5856	3869			1101130	1420105	1661263	1810246	1638458	1678506	1554295	910922	1062235	1059613	1032260	1075511	1058753	1060797	959751	882424	869481	824870	657142	821773		17157	21454	35547	29496	43167	53969	48946	43975	62144	117267	124763	120656	161098	132271	125944	131222	176882	151690	143353		
78	"Lead and articles thereof"	48	52	51	50	61	149	126	123	144	124	180	178	167	145	81	96	213	136	137			73685	121778	109917	114730	143827	181442	276549	242746	186821	179812	154787	189230	207649	158348	126688	168756	291483	148508	151372	270426		5190	5954	11477	11577	18858	23721	16861	15422	13558	22414	17640	18162	31545	29949	31586	29304	28407	22400	27043		
81	"Other base metals; cermets; articles thereof"	1468	424	603	736	573	821	1358	841	1362	1330	1700	1177	1537	973	736	886	1149	1035	1059			1012552	1141485	1322342	2054776	2573201	2397237	2688996	1778282	2040800	2611946	2720941	2735841	2867798	2696709	2682297	2875847	3181701	3165879	2477678	2371942		2754	2356	3680	3730	3316	5680	6627	3981	4760	5836	6859	6225	7782	4671	4755	6415	7986	6141	4435		
83	"Miscellaneous articles of base metal"	17487	17868	15100	17827	23033	24769	25092	21397	25274	27304	33356	31949	29594	34977	34984	54739	46701	35854	21085			3032319	3055570	3281494	3423121	3751760	3911091	3872827	3200935	3749441	4138513	4406693	4615521	4929546	4866546	4851178	4853280	5125209	5192088	4349361	4972534		44679	43280	50782	59731	78872	94851	113221	99944	131688	156768	193421	179037	209460	192264	184710	212131	218474	205556	178577		
99	"Commodities not elsewhere specified"	2586	5183	6954	6186	7966	8752	9684	7802	8174	8395	8485	7175	8621	7253	8005	6005	5385	5867	5243			22002662	21895125	23163646	25125553	29305260	33990058	37392843	30750044	40373872	39377993	40638745	42135938	43237139	41444087	40131229	42447656	46181163	46707299	40973897	51235382		10758	74578	113534	154982	255642	299689	316946	268414	337534	503417	557723	651984	662735	617112	514498	415246	430506	442787	417176		
02	"Meat and edible meat offal"	8000	4242	4673	7486	5781	7897	16069	9676	17454	31754	53784	119560	187400	136112	157156	238726	303071	330510	245460			5912114	6772471	4777360	6088812	6593168	8343673	11679211	10566930	12051903	15357261	16096227	16276932	17570517	14288343	14657760	16398642	17266108	17662209	18147642	22205465		22065	9458	13405	18250	18992	31257	44041	36480	49643	76558	113469	187358	242128	173960	189138	270178	332255	360372	268278		
09	"Coffee, tea, maté and spices"	151	212	244	336	605	341	376	316	531	702	876	1229	1798	1893	1917	2651	2584	2269	2405			351191	400414	458587	481358	600485	666408	764044	740347	888103	1226518	1295237	1184438	1224983	1217254	1221148	1170105	1148588	1093721	1044968	1095863		12233	8647	11599	32051	36272	24654	33972	94083	91280	188775	191680	69311	54291	32359	36383	51595	119853	93195	125273		
10	"Cereals"	326835	323570	430987	435031	511058	865612	1137813	429865	312434	431674	276502	477804	1190523	1266666	1071820	1120746	1163167	960467	1231674			10275112	10629349	13124496	11415675	13525652	21119589	28948701	17419347	20036820	28347941	20616227	20300976	22850742	18816091	18938198	18613044	21021758	16923853	19338911	30546209		508297	543406	645978	626273	868534	1192016	1651685	1180135	1279856	1710295	1842482	1852230	1689699	1649779	1555161	1510751	1667482	1791232	1961876		
17	"Sugars and sugar confectionery"	3523	3044	4047	4878	7229	11492	11206	6977	7038	9405	16019	16114	15401	13354	12107	10164	11204	12408	12163			635580	688882	735397	827746	1042843	1386785	1293659	1201243	1741252	2166356	2560100	2476821	2267758	1969469	1915557	2022363	2006370	1931061	1835352	2057905		38895	45389	26666	41730	86944	100516	108893	91557	144995	175191	251271	209603	116740	86649	193947	167262	108226	167882	175916		
29	"Organic chemicals"	398602	524562	701085	799086	862737	958923	1086013	696324	907884	1020327	986272	1075963	984753	847604	835390	992172	1174492	961599	884446			19420304	23239553	30377562	30833936	33654324	37678596	37750913	30796713	40928207	45682440	46079295	46600465	42340487	38703088	33956461	36278625	40242211	38889529	33567334	42881362		878547	1002815	1318906	1521154	1730082	1885767	2132696	1480947	1880165	2184801	2191414	2386947	2380402	2072437	1914130	2037210	2284566	2004954	1865492		
